Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
11/7/2016,771.64,787.732,770.94,784.93,5984354,0,1,771.64,787.732,770.94,784.93,5984354
11/8/2016,784.97,791.7399,779.1,787.75,3412629,0,1,784.97,791.7399,779.1,787.75,3412629
11/9/2016,764,777.5,760.09,771.88,8562892,0,1,764,777.5,760.09,771.88,8562892
11/10/2016,778.81,778.83,717.7,742.38,12746994,0,1,778.81,778.83,717.7,742.38,12746994
11/11/2016,735.73,743.26,728.9,739.01,6622784,0,1,735.73,743.26,728.9,739.01,6622784
11/14/2016,745.51,746,710.1,719.07,7321344,0,1,745.51,746,710.1,719.07,7321344
11/15/2016,730,746.78,725.99,743.24,6755785,0,1,730,746.78,725.99,743.24,6755785
11/16/2016,718,749.87,735.61,746.49,3648791,0,1,718,749.87,735.61,746.49,3648791
11/17/2016,749.32,757.5,748,756.4,3690112,0,1,749.32,757.5,748,756.4,3690112
11/18/2016,761,767.74,757.6435,760.16,4373408,0,1,761,767.74,757.6435,760.16,4373408
11/21/2016,766,780.35,765.11,780,4614574,0,1,766,780.35,765.11,780,4614574
11/22/2016,788.17,792.4,781,785.33,5311320,0,1,788.17,792.4,781,785.33,5311320
11/23/2016,781.73,781.75,773.12,780.12,3540263,0,1,781.73,781.75,773.12,780.12,3540263
11/25/2016,786.5,786.75,777.9,780.37,1837068,0,1,786.5,786.75,777.9,780.37,1837068
11/28/2016,776.99,777,764.24,766.77,4438828,0,1,776.99,777,764.24,766.77,4438828
11/29/2016,768,769.89,761.32,762.52,3272344,0,1,768,769.89,761.32,762.52,3272344
11/30/2016,762,768.09,750.25,750.57,4625946,0,1,762,768.09,750.25,750.57,4625946
12/1/2016,752.41,753.37,738.03,743.65,4665993,0,1,752.41,753.37,738.03,743.65,4665993
12/2/2016,743.4,748.4903,736.7,740.34,3561307,0,1,743.4,748.4903,736.7,740.34,3561307
12/5/2016,745,761.49,742,759.36,4314723,0,1,745,761.49,742,759.36,4314723
12/6/2016,763.99,768.24,757.25,764.72,3794746,0,1,763.99,768.24,757.25,764.72,3794746
12/7/2016,764.55,770.42,755.82,770.42,3684906,0,1,764.55,770.42,755.82,770.42,3684906
